case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
Corsair iCUE LINK 6500X RGB,621.44,Intel Core i3-13100,3767.4,Kingston NV1,934.6,TEAMGROUP T-Create Expert 32 GB,511.77,ASRock Z690 Pro RS,1252.96,SeaSonic FOCUS Plus Gold,355.49,EVGA FTW3 ULTRA GAMING,9899.21,17342.87
be quiet! Pure Base 500 FX,538.3,Intel Core i7-7800X,3134.87,Klevv CRAS C910,2454.11,Crucial CT2K8G48C40U5 16 GB,967.49,Asus PRIME B760-PLUS,584.61,EVGA 600 GD,642.85,NVIDIA Founders Edition,2318.65,10640.88
Thermaltake View 270,913.24,Intel Core i9-12900KF,1693.83,TEAMGROUP T-Force Vulcan Z,128.95,Silicon Power GAMING 16 GB,1769.26,Gigabyte X670E AORUS MASTER (rev. 1.0),775.07,Corsair SF600,553.68,Zotac GAMING Twin Edge OC,9739.73,15573.76
Fractal Design Pop XL Air,68.67,Intel Core i7-4930K,916.24,Klevv CRAS C710,1173.15,Crucial CT8G48C40U5 8 GB,3874.0,Gigabyte B550I AORUS PRO AX,2982.01,SHARKOON SilentStorm Cool Zero 750,696.85,Gigabyte GAMING OC Rev 2.0,288.05,9998.97
Jonsbo N2,110.86,Intel Core i5-9400F,3839.7,Silicon Power XS70,753.77,Corsair Vengeance 192 GB,3155.18,ASRock B660M Pro RS,2753.15,SeaSonic FOCUS Gold,285.62,XFX Speedster SWFT 319,7992.54,18890.82
Fractal Design North,486.14,Intel Core i5-14600K,3871.97,TEAMGROUP QX,133.89,Patriot Viper Steel 32 GB,2578.8,Asus TUF GAMING Z790-PLUS WIFI D4,3426.36,EVGA 650 B5,692.91,Gigabyte AORUS MASTER,8029.36,19219.43
Thermaltake Core V1,719.87,Intel Core i5-14600KF,1003.57,SanDisk SSD PLUS,2283.32,TEAMGROUP T-Force Delta RGB 16 GB,3848.24,Supermicro MBD-X10DRI-O,914.65,EVGA SuperNOVA 850 GM,164.72,Sapphire NITRO+,7564.13,16498.5
Phanteks XT PRO,569.63,Intel Core i9-7920X,277.14,Crucial P3 Plus,2052.43,Corsair Vengeance 16 GB,1106.66,Gigabyte B650M AORUS ELITE AX,3537.69,EVGA SuperNOVA 750 P5,704.02,Asus TUF Gaming OG OC,5718.22,13965.79
Corsair 6500X,586.99,AMD Ryzen 5 5600X,3479.93,Leven JPS800,1861.14,Lexar Ares RGB 32 GB,3829.77,Asus ROG STRIX Z790-E GAMING WIFI II,3494.73,SeaSonic FOCUS GX-850 ATX 3.0,616.86,MSI RTX 4090 GAMING SLIM 24G,3858.17,17727.59
Corsair iCUE 5000X RGB,362.51,Intel Xeon E3-1245,261.11,Crucial P5 Plus,891.97,Crucial CT16G48C40U5 16 GB,3630.86,MSI PRO Z790-S WIFI,592.54,Corsair RM750e (2023),61.12,Asus DUAL OC,298.11,6098.22
Antec NX100,674.82,Intel Core i7-11700K,1081.46,Corsair MP700,841.53,Corsair Vengeance LPX 32 GB,78.7,Asus PRIME B650M-A WIFI II,3341.04,EVGA SuperNOVA 1000 GT,591.93,MSI GAMING X TRIO,2552.86,9162.34
GAMDIAS AURA GC1,935.24,Intel Core i5-11600K,3542.1,Western Digital Red,1475.78,Corsair Dominator Titanium 48 GB,1928.7,MSI X670E GAMING PLUS WIFI,3654.04,Lian Li SP850,457.17,ASRock Challenger,9130.05,21123.08
Lian Li O11 Dynamic EVO XL,818.85,AMD Ryzen 5 5600,3237.68,Crucial P3 Plus,2031.44,Corsair Vengeance RGB Pro 64 GB,2784.61,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),2571.33,be quiet! Pure Power 12 M,305.43,MSI Ventus XS OCV1,2436.3,14185.64
DIYPC ARGB Q10,765.07,AMD Threadripper 3990X,3537.26,Lexar NM620,574.92,Corsair Vengeance RGB 192 GB,3762.94,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),3159.23,Corsair AX1200,514.63,ASRock Phantom Gaming D OC,8084.74,20398.79
SHARKOON VS8,805.07,Intel Core i7-12700F,1122.67,Samsung 980 Pro,42.58,Crucial Pro Overclocking 32 GB,3269.72,Gigabyte Z790I AORUS ULTRA,1995.14,EVGA 650 B5,396.75,Sapphire NITRO+,9756.49,17388.42
SAMA IM01,139.23,Intel Pentium Gold G5500,2915.36,Samsung 870 Evo,453.56,Corsair Vengeance 16 GB,3629.09,MSI MPG X670E CARBON WIFI,984.75,Corsair SF850L,265.21,XFX Speedster MERC 310 Black Edition,9774.91,18162.11
MSI MAG FORGE 100R,123.7,Intel Core i3-3250,1179.35,Silicon Power A60,1748.11,G.Skill Trident Z5 Neo RGB 32 GB,1952.92,ASRock X670E PG Lightning,1305.42,SeaSonic PRIME PX-1600 ATX 3.0,674.82,PNY VCNRTX6000ADA-PB,1472.07,8456.39
Corsair iCUE 4000D RGB AIRFLOW,615.59,Intel Pentium E5700,1654.82,Seagate IronWolf Pro NAS,1231.29,Corsair Dominator Titanium 96 GB,2438.27,MSI MAG B550M MORTAR MAX WIFI,969.33,G.Skill MB750G,528.48,PNY XLR8 Gaming VERTO EPIC-X RGB OC,65.72,7503.5
MSI MAG VAMPIRIC 100R,852.54,Intel Core i7-7800X,3173.73,Patriot P300,690.33,G.Skill Flare X5 64 GB,2164.55,MSI B760 GAMING PLUS WIFI,1598.49,Deepcool PM750D,26.03,MSI D3H LP,6724.1,15229.77
Phanteks Enthoo Pro,240.35,Intel Core i7-3770K,2081.0,Western Digital Blue SA510,1893.92,Patriot Signature Line 8 GB,1759.96,MSI PRO Z790-S WIFI,715.75,Thermaltake Smart BM3,373.32,XFX Speedster QICK 319 Core,6044.41,13108.71
HYTE Y60,934.44,AMD Ryzen 3 2200G,1237.68,Kingston NV2,619.31,Corsair Dominator Titanium 96 GB,3239.89,Asus PRIME B650M-A WIFI II,2763.62,EVGA SuperNOVA 1000 P3,514.14,ASRock Challenger,6665.07,15974.15
Fractal Design Pop Mini Air,200.35,Intel Core i5-8600,3013.58,ADATA XPG GAMMIX S70 Blade,252.91,TEAMGROUP T-Create Classic 16 GB,1065.51,ASRock A620M Pro RS,2017.81,Corsair CX (2023),715.09,Zotac GAMING Trinity OC,7821.41,15086.66
MSI MAG FORGE 100R,609.93,AMD FX-6100,1050.29,Intel DC P3600,140.67,Kingston FURY Beast 32 GB,881.58,MSI PRO H610M-G WIFI DDR4,1911.92,MSI A1000G PCIE5,505.04,Asus STRIX GAMING OC,2572.11,7671.54
Jonsbo N1,102.28,Intel Xeon E5-2620,2332.35,SanDisk SSD PLUS,2284.27,Kingston Server Premier 32 GB,1093.3,Gigabyte TRX40 AORUS PRO WIFI,286.24,EVGA 650 BQ,243.43,Zotac GAMING Trinity,5041.76,11383.63
HYTE Y60 Snow White,410.15,Intel Core i9-13900,3860.24,ADATA XPG GAMMIX S70 Blade,1722.39,Corsair Vengeance RGB Pro SL 32 GB,315.42,MSI MPG B650 EDGE WIFI,2483.31,Asus ROG THOR P2 Gaming,718.96,XFX Speedster SWFT 210,6066.13,15576.6
Lian Li LANCOOL III,402.58,Intel Core i9-10980XE,1429.99,Patriot Burst Elite,1567.43,Kingston FURY Beast 32 GB,3900.35,MSI PRO Z790-A MAX WIFI,2475.84,Corsair RM750x (2018),697.87,Gigabyte AORUS MASTER,3855.09,14329.15
Phanteks Enthoo Pro,764.37,Intel Core i5-4570T,3365.17,TEAMGROUP MP33 PRO,1873.5,Silicon Power XPOWER Turbine 32 GB,2543.62,Asus PRIME Z790-P WIFI,2012.64,Thermaltake Smart BM3,421.8,AMD 100-505999,7196.08,18177.18
MSI MAG FORGE 100R,430.6,Intel Core i5-11400,1311.59,Western Digital WD_BLACK,2302.09,G.Skill Trident Z RGB 32 GB,516.35,Gigabyte B450M DS3H WIFI,2131.67,Corsair RM1200x SHIFT,633.96,XFX Speedster QICK 319 Core,4631.34,11957.6
Fractal Design Focus 2,758.59,Intel Core i9-10920X,2305.04,Lexar NS100,2109.35,Kingston Server Premier 32 GB,2319.68,Gigabyte B650I AORUS ULTRA,924.08,Asus ROG LOKI,66.26,Gigabyte WINDFORCE V2,4616.86,13099.86
NZXT H7 Flow,152.52,Intel Celeron G3900,4095.6,MSI SPATIUM M570 HS,2010.08,G.Skill Aegis 16 GB,2029.23,Asus TUF GAMING B550-PLUS WIFI II,3223.48,Corsair RM850x (2021),84.46,MSI Radeon RX 6900 XT GAMING X TRIO 16G,3248.68,14844.05
Cooler Master Cosmos C700M,159.69,Intel Core i3-12100,3799.54,Samsung 990 EVO,502.6,G.Skill Trident Z RGB 32 GB,1659.56,Supermicro X11SCL-IF,660.18,NZXT C1000 (2022),622.25,Gigabyte EAGLE OC,5856.0,13259.82
MSI MAG VAMPIRIC 100R,457.35,Intel Core i7-8700,815.01,Seagate IronWolf NAS,1921.84,KingBank SharpBlade 32 GB,3438.1,MSI MPG B650 CARBON WIFI,2546.19,Corsair RM850x,22.46,Zotac GAMING Trinity,9465.46,18666.41
Corsair iCUE LINK 6500X RGB,919.37,Intel Pentium G2020,410.68,Western Digital Black SN750,1821.72,G.Skill Ripjaws S5 64 GB,3201.0,Asus PRIME B550M-A/CSM,2428.52,Corsair RM750e (2023),424.25,Zotac GAMING Trinity,1420.28,10625.82
Lian Li LANCOOL 205M MESH,739.33,Intel Core i3-8100,1233.66,Seagate Barracuda Compute,903.24,Corsair Vengeance LPX 64 GB,3816.6,MSI PRO A620M-E,2660.28,SeaSonic FOCUS Plus Platinum,34.9,Asus STRIX GAMING OC,4724.58,14112.59
Thermaltake Versa H17,831.51,AMD Ryzen 7 5700G,4086.24,Crucial T500,2231.86,G.Skill Ripjaws S5 64 GB,1715.3,Gigabyte B760 DS3H AC,2145.81,EVGA 600 BQ,432.11,EVGA FTW3 ULTRA GAMING,8521.75,19964.58
Corsair 3000D RGB AIRFLOW,320.68,Intel Core i9-10850K,2090.78,Leven JS600,2342.68,Corsair Vengeance 64 GB,1902.45,Asus TUF GAMING B760M-PLUS WIFI,565.93,Montech TITAN GOLD 1000W,619.32,Acer Predator BiFrost OC,4450.6,12292.44
Thermaltake S100 Snow Edition,59.54,Intel Core i5-11400,654.04,ADATA LEGEND 850 LITE,1647.4,Klevv BOLT V 32 GB,2695.45,Gigabyte B650M AORUS ELITE AX,363.82,Cooler Master V SFX Gold ATX 3.0,166.31,Gigabyte GAMING OC Rev 2.0,6810.08,12396.64
be quiet! Pure Base 500DX,386.83,Intel Core i3-14100F,317.0,Kingston NV1,928.58,G.Skill Flare X5 32 GB,1865.51,MSI MAG B550 TOMAHAWK,1027.36,Corsair AX1200,248.32,Asus STRIX GAMING,6233.81,11007.41
Fractal Design Pop XL Silent,489.54,Intel Core i7-11700K,199.37,Seagate Surveillance HDD,2209.3,TEAMGROUP T-Create Expert 16 GB,482.88,MSI MAG B550M MORTAR MAX WIFI,1133.71,Cooler Master MWE Bronze V2,572.41,Zotac Twin Edge OC,2040.23,7127.44
Lian Li PC-O11 Dynamic Razer,723.04,Intel Core i7-8700,3571.01,Seagate Constellation CS,166.28,OLOy OWL RGB 16 GB,3550.45,Gigabyte B650 AORUS ELITE AX V2,2108.79,EVGA 650 BQ,509.73,MSI SUPRIM X,9553.94,20183.24
Lian Li O11 Dynamic EVO XL,429.22,AMD Ryzen 9 3900XT,1255.36,Seagate FireCuda,1363.87,Corsair Vengeance 16 GB,2533.53,Asus ProArt Z790-CREATOR WIFI,996.74,EVGA 650BP,667.83,NVIDIA Founders Edition,1315.29,8561.84
BitFenix Nova Mesh SE,552.37,Intel Core i5-14400,1636.32,ADATA LEGEND 850 LITE,2380.81,TEAMGROUP T-Create Classic 16 GB,1730.63,Asus PRIME Z390-P,669.3,Cooler Master MWE GOLD 750 V2 FULL MODULAR,85.73,EVGA FTW3 ULTRA GAMING,161.63,7216.79
Lian Li O11 Dynamic EVO,918.6,Intel Core i5-12600,1183.91,Patriot P310,874.23,Corsair Dominator Titanium 64 GB,2317.2,ASRock B660M-HDV,2196.12,Thermaltake Toughpower GX3,495.35,Sparkle ORC OC,1143.29,9128.7
Deepcool CH370,550.81,Intel Xeon E5-2680 V4,914.87,TEAMGROUP MP34,1743.59,Klevv BOLT V 32 GB,1930.92,ASRock H370M-HDV,1554.61,Corsair RM1000e (2023),374.05,XFX Speedster MERC 308 Black,3303.29,10372.14
Fractal Design Pop XL Silent,589.8,Intel Core i5-12400,1617.02,Western Digital Red Plus,1500.92,G.Skill Trident Z Royal 128 GB,3763.13,ASRock A620M Pro RS WiFi,3019.26,EVGA 600 BQ,195.88,XFX RX-79GMERCB9,8694.33,19380.34
MSI MPG GUNGNIR 110R,447.36,AMD Ryzen 9 7900,1667.56,SK Hynix Platinum P41,1132.96,Silicon Power GAMING 16 GB,1168.71,Gigabyte X670 GAMING X AX V2,1789.0,Azza PSAZ-550W,273.4,MSI D3H LP,2600.96,9079.95
Fractal Design Pop XL Air,258.9,Intel Core i3-3250,995.23,Samsung 970 Evo,719.77,Patriot Viper Xtreme 5 32 GB,2655.33,Asus ROG STRIX Z790-A GAMING WIFI II,3795.15,Cooler Master MWE Gold 850 - V2,76.7,XFX Speedster SWFT 319,8062.77,16563.85
Zalman S3,591.91,Intel Core i5-12400,1853.21,Crucial MX500,1863.34,Silicon Power Value Gaming 32 GB,1493.75,MSI PRO A620M-E,2875.29,EVGA 750 N1,277.52,Zotac GAMING Twin Edge OC,6595.28,15550.3
Lian Li LANCOOL 205M MESH,536.07,AMD Ryzen 5 3400G,4178.68,Kingston NV1,1893.1,Corsair Vengeance LPX 32 GB,394.64,Gigabyte X670E AORUS PRO X,2465.72,be quiet! Straight Power 12,488.56,XFX Speedster SWFT 210,5150.8,15107.57
Phanteks XT PRO,822.1,Intel Xeon E5-2690 V4,1285.64,Lexar NM790,316.7,G.Skill Trident Z5 RGB 32 GB,2887.5,Asus TUF GAMING B660M-PLUS WIFI,1438.31,EVGA 400 N1,249.45,MSI GAMING X SLIM,627.65,7627.35
Silverstone SG13 V2,43.02,Intel Core i5-11500,1984.72,Samsung PM893,2239.18,TEAMGROUP T-Create Expert 32 GB,2097.19,Asus ROG STRIX B650E-E GAMING WIFI,2660.2,SeaSonic VERTEX GX-1200,494.84,MSI GAMING TRIO CLASSIC,6121.54,15640.69
Phanteks XT PRO ULTRA,463.99,AMD Ryzen 9 3900XT,1489.92,Western Digital Red Pro,1513.52,TEAMGROUP Elite 16 GB,1348.74,Gigabyte A520M S2H,1821.72,Corsair RM850x (2018),177.71,Gigabyte WINDFORCE,2566.23,9381.83
Phanteks NV5,62.16,Intel Core i7-8700,2280.93,Western Digital Blue,447.4,Patriot Viper Xtreme 5 32 GB,482.75,MSI PRO H610M-G WIFI DDR4,2636.96,SeaSonic FOCUS Plus 750 Gold,640.2,ASRock Challenger Pro OC,7463.25,14013.65
Fractal Design Pop Air RGB,779.01,Intel Core i7-7700K,1250.62,Toshiba MK3276GSX,891.06,Silicon Power SP016GLLTU160N22 16 GB,2557.86,ASRock B550M PG RIPTIDE,351.82,SeaSonic FOCUS Plus Gold,29.52,Sapphire NITRO+,6181.07,12040.96
DIYPC ARGB Q10,990.98,Intel Core i7-4790,1517.7,Western Digital Blue SN570,272.35,Corsair Dominator Platinum RGB 32 GB,2502.25,ASRock Z790 Pro RS,3691.64,Corsair RM850x (2018),506.22,ASRock Phantom Gaming OC,5865.78,15346.92
Montech SKY TWO,370.93,Intel Core i7-960,2842.76,Crucial T500,1735.26,Patriot Viper Steel 32 GB,2309.48,Asus PRIME Z390-P,3343.21,EVGA 650 B5,385.43,MSI SUPRIM X,4452.88,15439.95
NZXT H6 Flow RGB,475.11,Intel Core i7-11700F,1764.68,TEAMGROUP QX,598.52,TEAMGROUP Elite 16 GB,73.48,MSI PRO Z790-P WIFI,2164.96,Montech TITAN GOLD 1000W,621.11,XFX Speedster SWFT 210 Core,6625.44,12323.3
Deepcool MATREXX 40,543.37,Intel Core i7-10700F,3978.5,Patriot P310,664.0,Corsair Vengeance RGB Pro 16 GB,3236.54,Asus PRIME B650-PLUS,1309.59,Thermaltake Smart RGB 230V,240.54,Asus TUF GAMING OC,6117.09,16089.63
DIYPC ARGB Q10,777.17,AMD Ryzen 7 5800X,3754.23,Toshiba MK3276GSX,2233.51,G.Skill Trident Z5 RGB 48 GB,2425.6,Asus ROG STRIX Z790-E GAMING WIFI II,2356.7,MSI MAG A750GL PCIE5,97.46,AMD 100-505999,7453.03,19097.7
NZXT H5 Flow,828.42,Intel Core i7-14700K,4046.31,Seagate IronWolf Pro,154.61,Crucial Classic 16 GB,2518.05,Asus PRIME B650M-A WIFI II,2619.9,PowerSpec PS 750BSM,164.41,MSI VENTUS XS OC,8305.24,18636.94
Silverstone SG13 V2,572.81,AMD Threadripper 3960X,3038.82,MSI SPATIUM M570 HS,885.22,Kingston FURY Beast 32 GB,604.18,MSI PRO Z790-P WIFI DDR4,3204.93,Corsair SF600,598.99,Zotac GAMING AMP Extreme AIRO,5489.29,14394.24
Silverstone SUGO 14,739.19,Intel Core i9-13900,444.6,Klevv CRAS C910,1075.05,Kingston FURY Beast 8 GB,2880.06,ASRock B650 LiveMixer,1184.02,SeaSonic FOCUS Plus Gold,386.54,MSI VENTUS 2X OC,3596.45,10305.91
Corsair 6500X,722.45,Intel Core i3-13100,187.65,Corsair MP700 PRO,194.27,G.Skill Ripjaws S5 32 GB,3376.98,Gigabyte X670E AORUS PRO X,3935.44,EVGA SuperNOVA 1000 G5,415.54,MSI D6 VENTUS XS OCV3,7553.89,16386.22
Corsair 2500X,721.06,Intel Xeon E-2124,1732.36,Western Digital Blue,1783.4,Kingston FURY Beast 32 GB,1208.04,MSI PRO B550M-VC WIFI,3903.39,be quiet! System Power 10,44.66,Zotac GAMING Twin Edge,6532.82,15925.73
Antec NX100,320.12,AMD A12-9800,336.46,Seagate Barracuda Compute,1967.16,Corsair Vengeance 32 GB,1975.76,Gigabyte B550 AORUS ELITE AX V2,1011.55,NZXT C1000 (2022),389.15,XFX Speedster SWFT 210,242.17,6242.37
Corsair 2000D AIRFLOW,956.43,Intel Core i7-9700K,2465.84,PNY CS1030,1112.14,Silicon Power GAMING 32 GB,1443.12,Gigabyte Z790I AORUS ULTRA,1021.04,MSI A1000G PCIE5,92.51,MSI VENTUS XS OC,6719.14,13810.22
Asus A21,357.75,Intel Core i5-7500,2498.8,Western Digital Red,755.12,G.Skill Ripjaws S5 64 GB,855.86,Asus ROG STRIX B650E-E GAMING WIFI,2061.84,Corsair HX1000i (2023),629.98,MSI VENTUS 2X XS OC,4002.09,11161.44
MSI MAG PANO M100R PZ,847.83,Intel Core i7-6700,450.88,Seagate IronWolf Pro,1000.75,Kingston FURY Beast 16 GB,198.19,ASRock X670E Taichi Carrara,2796.42,Asus TUF Gaming 750G,80.43,Gigabyte GAMING OC Rev 2.0,7781.44,13155.94
Deepcool CH560,979.17,Intel Core i7-11700KF,32.24,Corsair MP600 CORE XT,1069.72,Silicon Power XPOWER Turbine 32 GB,1605.89,ASRock B450M PRO4 R2.0,2019.57,SeaSonic FOCUS Plus Platinum,54.77,MSI D3H LP,9843.21,15604.57
Cooler Master Cosmos C700M,320.32,Intel Core i5-11600KF,3019.09,Western Digital Blue SN580,2269.68,Silicon Power Value Gaming 32 GB,1596.52,MSI X670E GAMING PLUS WIFI,2272.2,EVGA SuperNOVA 850G XC,568.63,Asus ROG Matrix Platinum,9629.92,19676.36
Thermaltake Core V21,818.52,AMD Ryzen 9 7900X,2936.43,Silicon Power P34A60,352.91,Kingston FURY Beast 16 GB,3171.62,Asus ROG STRIX Z790-A GAMING WIFI II,1419.67,Corsair RM750,389.43,XFX Speedster MERC 308 Black,123.96,9212.54
Zalman P30,383.73,AMD Athlon X4 845,1723.17,Corsair MP700 PRO,1558.01,Corsair Vengeance LPX 16 GB,3507.81,MSI MAG Z790 TOMAHAWK WIFI,2414.86,MSI MAG A850GL PCIE5,107.87,Gigabyte EAGLE,5498.38,15193.83
Deepcool CC560 V2,189.48,Intel Core i3-13100F,40.59,Corsair MP700 PRO,1552.94,TEAMGROUP Elite 16 GB,1500.4,Gigabyte Z790 AORUS PRO X,3890.29,Super Flower Leadex Titanium,524.79,XFX Speedster SWFT 319 Core,1163.43,8861.92
Phanteks XT PRO,526.54,Intel Core i7-11700KF,324.57,Western Digital Red,2248.74,Crucial CT16G48C40U5 16 GB,3467.86,ASRock B550M Pro4,3010.02,Lian Li SP,345.06,Zotac GAMING Twin Edge OC,8674.5,18597.29
Lian Li O11 Vision,532.42,AMD Ryzen 9 7900X,3036.82,Seagate IronWolf Pro NAS,1768.29,Corsair Vengeance RGB 64 GB,191.56,ASRock B550 Phantom Gaming-ITX/ax,3805.8,EVGA 500 W1,682.24,EVGA Gaming iCX,8960.88,18978.01
Lian Li O11D EVO RGB,769.73,Intel Celeron G6900,3714.54,Lexar NM710,1059.05,Crucial Classic 8 GB,3390.16,MSI MAG B550 TOMAHAWK,2032.17,Corsair RM1200x SHIFT,240.88,MSI D3H LP,881.78,12088.31
Jonsbo N1,933.76,Intel Core i5-9600K,1034.2,Crucial T700,1727.35,G.Skill Ripjaws V 64 GB,78.72,ASRock X570 Phantom Gaming-ITX/TB3,905.87,PowerSpec PS 750BSM,183.07,Zotac GAMING Trinity,1708.95,6571.92
Asus A21,313.46,Intel Core i7-12700KF,1601.92,Klevv CRAS C710,1841.27,G.Skill Trident Z5 RGB 32 GB,3535.9,Supermicro MBD-X10DRI-O,3151.97,Super Flower Leadex Titanium,551.28,PNY VERTO,1999.09,12994.89
DIYPC MA08,876.38,Intel Core i7-7820X,3959.55,Patriot Burst Elite,1510.55,KingBank SharpBlade RGB 32 GB,379.02,ASRock A620M Pro RS,2234.84,Lian Li SP850,323.64,Inno3D Twin X2,458.66,9742.64
Antec NX100,477.76,AMD Ryzen 5 1600 (14nm),3770.08,Klevv CRAS C910,90.93,Corsair Vengeance 32 GB,26.94,Asus ROG STRIX X670E-E GAMING WIFI,2603.68,be quiet! Straight Power 12,601.32,MSI RTX 3060 Ventus 3X 12G OC,3208.33,10779.04
Montech SKY TWO,925.01,Intel Core i5-10400,1477.74,Samsung 980,1451.91,Lexar Ares RGB 32 GB,2880.37,Gigabyte A520I AC,934.66,SeaSonic PRIME Fanless,625.46,MSI VENTUS 3X OC,1590.03,9885.18
Lian Li LANCOOL 216,309.28,AMD Ryzen 3 4100,1326.51,Crucial T700 W/Heatsink,2036.72,TEAMGROUP T-Force Xtreem ARGB 32 GB,246.08,ASRock B650E PG RIPTIDE WIFI,3052.32,EVGA SuperNOVA 650 G3,341.39,MSI Ventus XS OCV1,8074.12,15386.42
Thermaltake View 270,852.59,AMD Ryzen 5 2600,2743.21,Intel 750,207.61,G.Skill Trident Z Royal 32 GB,3453.06,Gigabyte B650 AORUS ELITE AX,3559.14,Cooler Master MWE GOLD 750 V2 FULL MODULAR,353.22,NVIDIA Founders Edition,8649.22,19818.05
Cooler Master MasterBox Q300L,415.5,Intel Core i7-10700KF,2873.95,Mushkin Source HC,119.98,TEAMGROUP T-Create Classic 16 GB,1644.68,Gigabyte B450M K,85.36,EVGA SuperNOVA 750 GA,500.37,Acer Predator BiFrost OC,2677.81,8317.65
Fractal Design Define 7 XL,150.45,Intel Xeon E3-1245 V5,1977.25,Intel Optane P1600X,2076.36,Corsair Dominator Platinum RGB 64 GB,3739.16,Asus PRIME Z390-A,1257.84,EVGA 650 B5,293.7,ASRock Challenger OC,5603.92,15098.68
MSI MEG MAESTRO 700L PZ,979.21,Intel Core i7-6900K,2480.19,Klevv CRAS C910,980.2,TEAMGROUP T-Force Delta RGB 64 GB,2994.33,MSI Z790 GAMING PRO WIFI,3245.4,EVGA SuperNOVA 750 GA,391.96,MSI GeForce RTX 3060 Ventus 2X 12G,9712.62,20783.91
Deepcool CH560,179.7,Intel Core i9-12900,931.33,Lexar NS100,2236.74,TEAMGROUP T-Create Classic 16 GB,1260.65,Asus TUF GAMING Z490-PLUS (WI-FI),1028.49,Apevia Galaxy,225.34,Gigabyte Vision OC,6955.81,12818.06
NZXT H7 Elite (2023),938.5,AMD Ryzen 3 3300X,4154.04,Western Digital Blue SN580,1267.1,Patriot Signature Line 8 GB,3528.68,ASRock B550M-ITX/ac,3073.43,Silverstone Strider Platinum S,51.12,EVGA XC3 ULTRA GAMING,5158.67,18171.54
HYTE Y70,813.28,Intel Core i3-9100,2418.06,Solidigm P41 Plus,13.48,Corsair Vengeance LPX 4 GB,3465.25,Gigabyte B550 GAMING X V2,1761.42,Corsair AX1600i,286.46,PowerColor Fighter OC,3662.74,12420.69
Montech KING 95 PRO,284.11,Intel Xeon E5-2680 V4,44.23,Corsair MP700,1307.63,G.Skill Trident Z Royal 256 GB,3610.77,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),3303.29,Corsair TX550M Gold,136.51,XFX Speedster SWFT 210,2428.31,11114.85
Deepcool CH370,989.63,AMD Ryzen 3 3100,176.85,Transcend 250S,962.95,Kingston FURY Beast 8 GB,690.48,ASRock B650E Taichi Lite,501.77,be quiet! SFX L Power,259.0,ASRock Taichi OC,1351.41,4932.09
MSI MPG GUNGNIR 110R,75.84,AMD Ryzen 5 5500,1666.13,Crucial T705,1633.73,Patriot Viper Venom 32 GB,2302.27,Asus PRIME B450M-K II,3889.15,Silverstone TX500-G,618.88,Acer Predator BiFrost OC,1312.42,11498.42
BitFenix Nova Mesh M ARGB,623.64,Intel Pentium E2160,1606.24,Seagate IronWolf Pro NAS,1065.95,Kingston FURY Beast 32 GB,3133.67,Asus TUF GAMING Z790-PRO WIFI,2499.87,Super Flower Leadex Platinum,265.94,PNY RTX A-Series,528.74,9724.05
MSI MAG VAMPIRIC 100R,752.51,Intel Core i7-10700F,3468.84,Seagate Exos X18,2362.7,TEAMGROUP T-Force Delta RGB 48 GB,3821.99,Asus PRIME B450-PLUS,2439.27,Asus ROG LOKI,102.64,Asus ROG STRIX GAMING OC,9724.72,22672.67
Lian Li O11D EVO RGB,380.8,Intel Core i9-10940X,2563.0,Western Digital Black SN750,1406.24,Patriot Viper Elite 5 RGB 32 GB,250.63,MSI Z490-A PRO,2064.84,Asus TUF Gaming 1000G,648.07,XFX Speedster MERC 310 Black Edition,1914.35,9227.93
Phanteks XT PRO ULTRA,651.63,AMD Ryzen 7 5800X,3354.59,Seagate Surveillance HDD,1960.73,Corsair Vengeance 96 GB,3693.41,Asus TUF GAMING X670E-PLUS WIFI,1812.21,MSI MAG A850GL PCIE5,667.79,PowerColor Red Dragon OC,4371.67,16512.03
be quiet! Pure Base 600,326.1,Intel Core i7-6700,650.87,TEAMGROUP MP44L,661.55,Lexar THOR OC 32 GB,1450.72,ASRock H670M-ITX/ax,3872.7,Cooler Master V SFX Gold ATX 3.0,650.08,MSI GAMING X,678.64,8290.66
Cooler Master MasterBox TD500 Mesh w/ Controller,54.79,Intel Core i5-11500,85.52,Seagate IronWolf Pro,2064.28,Corsair Vengeance 64 GB,1177.12,ASRock B550 Phantom Gaming-ITX/ax,1039.74,Corsair AX1200,146.2,MSI VENTUS 2X XS OC,3001.4,7569.05
Fractal Design North XL,464.16,Intel Core i7-8700,2254.71,MSI SPATIUM M482,2000.89,Samsung M378A2K43CB1-CTD 16 GB,734.1,ASRock B650I Lightning Wifi,1084.14,SeaSonic PRIME Fanless,185.89,EVGA Gaming iCX,5482.82,12206.71
GameMax Edge,624.17,Intel Core i9-13900K,554.06,Toshiba MK3276GSX,1354.92,OLOy OWL RGB 16 GB,1011.91,Asus PRIME B550-PLUS,1382.74,Azza PSAZ-550W,711.02,PowerColor Fighter OC,5755.15,11393.97
